Country,Consumption Range,Min Consumption (kWh),Max Consumption (kWh),Energy Source,Avg Installation Cost ($),Avg Cost per kWh ($),Avg Consumption (kWh)
USA,Low,100,200,Solar Power,18750.0,0.08,150.0
USA,Low,100,200,Wind Power,5750.0,0.04,150.0
USA,Low,100,200,Hydropower,3000.0,0.055,150.0
USA,Low,100,200,Biomass,3500.0,0.1,150.0
USA,Medium,200,500,Solar Power,18750.0,0.08,350.0
USA,Medium,200,500,Wind Power,5750.0,0.04,350.0
USA,Medium,200,500,Hydropower,3000.0,0.055,350.0
USA,Medium,200,500,Biomass,3500.0,0.1,350.0
USA,High,500,1000,Solar Power,18750.0,0.08,750.0
USA,High,500,1000,Wind Power,5750.0,0.04,750.0
USA,High,500,1000,Hydropower,3000.0,0.055,750.0
USA,High,500,1000,Biomass,3500.0,0.1,750.0
USA,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
USA,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
USA,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
USA,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Canada,Low,100,200,Solar Power,18750.0,0.08,150.0
Canada,Low,100,200,Wind Power,5750.0,0.04,150.0
Canada,Low,100,200,Hydropower,3000.0,0.055,150.0
Canada,Low,100,200,Biomass,3500.0,0.1,150.0
Canada,Medium,200,500,Solar Power,18750.0,0.08,350.0
Canada,Medium,200,500,Wind Power,5750.0,0.04,350.0
Canada,Medium,200,500,Hydropower,3000.0,0.055,350.0
Canada,Medium,200,500,Biomass,3500.0,0.1,350.0
Canada,High,500,1000,Solar Power,18750.0,0.08,750.0
Canada,High,500,1000,Wind Power,5750.0,0.04,750.0
Canada,High,500,1000,Hydropower,3000.0,0.055,750.0
Canada,High,500,1000,Biomass,3500.0,0.1,750.0
Canada,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Canada,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Canada,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Canada,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
UK,Low,100,200,Solar Power,18750.0,0.08,150.0
UK,Low,100,200,Wind Power,5750.0,0.04,150.0
UK,Low,100,200,Hydropower,3000.0,0.055,150.0
UK,Low,100,200,Biomass,3500.0,0.1,150.0
UK,Medium,200,500,Solar Power,18750.0,0.08,350.0
UK,Medium,200,500,Wind Power,5750.0,0.04,350.0
UK,Medium,200,500,Hydropower,3000.0,0.055,350.0
UK,Medium,200,500,Biomass,3500.0,0.1,350.0
UK,High,500,1000,Solar Power,18750.0,0.08,750.0
UK,High,500,1000,Wind Power,5750.0,0.04,750.0
UK,High,500,1000,Hydropower,3000.0,0.055,750.0
UK,High,500,1000,Biomass,3500.0,0.1,750.0
UK,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
UK,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
UK,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
UK,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Germany,Low,100,200,Solar Power,18750.0,0.08,150.0
Germany,Low,100,200,Wind Power,5750.0,0.04,150.0
Germany,Low,100,200,Hydropower,3000.0,0.055,150.0
Germany,Low,100,200,Biomass,3500.0,0.1,150.0
Germany,Medium,200,500,Solar Power,18750.0,0.08,350.0
Germany,Medium,200,500,Wind Power,5750.0,0.04,350.0
Germany,Medium,200,500,Hydropower,3000.0,0.055,350.0
Germany,Medium,200,500,Biomass,3500.0,0.1,350.0
Germany,High,500,1000,Solar Power,18750.0,0.08,750.0
Germany,High,500,1000,Wind Power,5750.0,0.04,750.0
Germany,High,500,1000,Hydropower,3000.0,0.055,750.0
Germany,High,500,1000,Biomass,3500.0,0.1,750.0
Germany,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Germany,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Germany,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Germany,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Australia,Low,100,200,Solar Power,18750.0,0.08,150.0
Australia,Low,100,200,Wind Power,5750.0,0.04,150.0
Australia,Low,100,200,Hydropower,3000.0,0.055,150.0
Australia,Low,100,200,Biomass,3500.0,0.1,150.0
Australia,Medium,200,500,Solar Power,18750.0,0.08,350.0
Australia,Medium,200,500,Wind Power,5750.0,0.04,350.0
Australia,Medium,200,500,Hydropower,3000.0,0.055,350.0
Australia,Medium,200,500,Biomass,3500.0,0.1,350.0
Australia,High,500,1000,Solar Power,18750.0,0.08,750.0
Australia,High,500,1000,Wind Power,5750.0,0.04,750.0
Australia,High,500,1000,Hydropower,3000.0,0.055,750.0
Australia,High,500,1000,Biomass,3500.0,0.1,750.0
Australia,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Australia,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Australia,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Australia,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
France,Low,100,200,Solar Power,18750.0,0.08,150.0
France,Low,100,200,Wind Power,5750.0,0.04,150.0
France,Low,100,200,Hydropower,3000.0,0.055,150.0
France,Low,100,200,Biomass,3500.0,0.1,150.0
France,Medium,200,500,Solar Power,18750.0,0.08,350.0
France,Medium,200,500,Wind Power,5750.0,0.04,350.0
France,Medium,200,500,Hydropower,3000.0,0.055,350.0
France,Medium,200,500,Biomass,3500.0,0.1,350.0
France,High,500,1000,Solar Power,18750.0,0.08,750.0
France,High,500,1000,Wind Power,5750.0,0.04,750.0
France,High,500,1000,Hydropower,3000.0,0.055,750.0
France,High,500,1000,Biomass,3500.0,0.1,750.0
France,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
France,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
France,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
France,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
India,Low,100,200,Solar Power,18750.0,0.08,150.0
India,Low,100,200,Wind Power,5750.0,0.04,150.0
India,Low,100,200,Hydropower,3000.0,0.055,150.0
India,Low,100,200,Biomass,3500.0,0.1,150.0
India,Medium,200,500,Solar Power,18750.0,0.08,350.0
India,Medium,200,500,Wind Power,5750.0,0.04,350.0
India,Medium,200,500,Hydropower,3000.0,0.055,350.0
India,Medium,200,500,Biomass,3500.0,0.1,350.0
India,High,500,1000,Solar Power,18750.0,0.08,750.0
India,High,500,1000,Wind Power,5750.0,0.04,750.0
India,High,500,1000,Hydropower,3000.0,0.055,750.0
India,High,500,1000,Biomass,3500.0,0.1,750.0
India,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
India,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
India,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
India,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
China,Low,100,200,Solar Power,18750.0,0.08,150.0
China,Low,100,200,Wind Power,5750.0,0.04,150.0
China,Low,100,200,Hydropower,3000.0,0.055,150.0
China,Low,100,200,Biomass,3500.0,0.1,150.0
China,Medium,200,500,Solar Power,18750.0,0.08,350.0
China,Medium,200,500,Wind Power,5750.0,0.04,350.0
China,Medium,200,500,Hydropower,3000.0,0.055,350.0
China,Medium,200,500,Biomass,3500.0,0.1,350.0
China,High,500,1000,Solar Power,18750.0,0.08,750.0
China,High,500,1000,Wind Power,5750.0,0.04,750.0
China,High,500,1000,Hydropower,3000.0,0.055,750.0
China,High,500,1000,Biomass,3500.0,0.1,750.0
China,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
China,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
China,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
China,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Japan,Low,100,200,Solar Power,18750.0,0.08,150.0
Japan,Low,100,200,Wind Power,5750.0,0.04,150.0
Japan,Low,100,200,Hydropower,3000.0,0.055,150.0
Japan,Low,100,200,Biomass,3500.0,0.1,150.0
Japan,Medium,200,500,Solar Power,18750.0,0.08,350.0
Japan,Medium,200,500,Wind Power,5750.0,0.04,350.0
Japan,Medium,200,500,Hydropower,3000.0,0.055,350.0
Japan,Medium,200,500,Biomass,3500.0,0.1,350.0
Japan,High,500,1000,Solar Power,18750.0,0.08,750.0
Japan,High,500,1000,Wind Power,5750.0,0.04,750.0
Japan,High,500,1000,Hydropower,3000.0,0.055,750.0
Japan,High,500,1000,Biomass,3500.0,0.1,750.0
Japan,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Japan,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Japan,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Japan,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Brazil,Low,100,200,Solar Power,18750.0,0.08,150.0
Brazil,Low,100,200,Wind Power,5750.0,0.04,150.0
Brazil,Low,100,200,Hydropower,3000.0,0.055,150.0
Brazil,Low,100,200,Biomass,3500.0,0.1,150.0
Brazil,Medium,200,500,Solar Power,18750.0,0.08,350.0
Brazil,Medium,200,500,Wind Power,5750.0,0.04,350.0
Brazil,Medium,200,500,Hydropower,3000.0,0.055,350.0
Brazil,Medium,200,500,Biomass,3500.0,0.1,350.0
Brazil,High,500,1000,Solar Power,18750.0,0.08,750.0
Brazil,High,500,1000,Wind Power,5750.0,0.04,750.0
Brazil,High,500,1000,Hydropower,3000.0,0.055,750.0
Brazil,High,500,1000,Biomass,3500.0,0.1,750.0
Brazil,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Brazil,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Brazil,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Brazil,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Russia,Low,100,200,Solar Power,18750.0,0.08,150.0
Russia,Low,100,200,Wind Power,5750.0,0.04,150.0
Russia,Low,100,200,Hydropower,3000.0,0.055,150.0
Russia,Low,100,200,Biomass,3500.0,0.1,150.0
Russia,Medium,200,500,Solar Power,18750.0,0.08,350.0
Russia,Medium,200,500,Wind Power,5750.0,0.04,350.0
Russia,Medium,200,500,Hydropower,3000.0,0.055,350.0
Russia,Medium,200,500,Biomass,3500.0,0.1,350.0
Russia,High,500,1000,Solar Power,18750.0,0.08,750.0
Russia,High,500,1000,Wind Power,5750.0,0.04,750.0
Russia,High,500,1000,Hydropower,3000.0,0.055,750.0
Russia,High,500,1000,Biomass,3500.0,0.1,750.0
Russia,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Russia,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Russia,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Russia,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
South Africa,Low,100,200,Solar Power,18750.0,0.08,150.0
South Africa,Low,100,200,Wind Power,5750.0,0.04,150.0
South Africa,Low,100,200,Hydropower,3000.0,0.055,150.0
South Africa,Low,100,200,Biomass,3500.0,0.1,150.0
South Africa,Medium,200,500,Solar Power,18750.0,0.08,350.0
South Africa,Medium,200,500,Wind Power,5750.0,0.04,350.0
South Africa,Medium,200,500,Hydropower,3000.0,0.055,350.0
